# Testi nuovi o cambiati nella v7. Tipo|chiave|it|en|es|de|fr|pl|pt|ro|ru
# L = contenuto di un controllo, M = messaggio, H = descrizione a comparsa (it|en, oppure tutte e nove le lingue).
L|chkNvThreaded|Ottimizzazione thread attiva|Threaded optimization on|Optimización de subprocesos activada|Threaded-Optimierung an|Optimisation threadée activée|Optymalizacja wątkowa włączona|Otimização de threads ativada|Optimizare pe fire activă|Потоковая оптимизация включена
L|chkNvTexPerf|Filtro texture: prestazioni elevate|Texture filtering: high performance|Filtrado de texturas: alto rendimiento|Texturfilterung: hohe Leistung|Filtrage des textures : hautes performances|Filtrowanie tekstur: wysoka wydajność|Filtragem de texturas: alto desempenho|Filtrare texturi: performanță ridicată|Фильтрация текстур: высокая производительность
L|chkNvAniso|Ottimizzazione campioni anisotropici|Anisotropic sample optimization|Optimización de muestras anisotrópicas|Anisotrope Musteroptimierung|Optimisation des échantillons anisotropes|Optymalizacja próbek anizotropowych|Otimização de amostras anisotrópicas|Optimizare eșantioane anizotrope|Оптимизация анизотропной выборки
L|chkNvShaderCache|Cache shader illimitata|Unlimited shader cache|Caché de sombreadores ilimitada|Unbegrenzter Shader-Cache|Cache de shaders illimité|Nieograniczona pamięć shaderów|Cache de shaders ilimitado|Cache shader nelimitat|Неограниченный кэш шейдеров
L|ttlNvReg|NVIDIA: REGISTRO DEL DRIVER|NVIDIA: DRIVER REGISTRY|NVIDIA: REGISTRO DEL CONTROLADOR|NVIDIA: TREIBER-REGISTRY|NVIDIA : REGISTRE DU PILOTE|NVIDIA: REJESTR STEROWNIKA|NVIDIA: REGISTRO DO DRIVER|NVIDIA: REGISTRUL DRIVERULUI|NVIDIA: РЕЕСТР ДРАЙВЕРА
L|chkNvDisplayPower|Risparmio energetico del display spento|Display power saving off|Ahorro de energía de pantalla desactivado|Bildschirm-Energiesparen aus|Économie d'énergie de l'écran désactivée|Oszczędzanie energii wyświetlacza wyłączone|Economia de energia da tela desativada|Economie energie ecran dezactivată|Энергосбережение дисплея выключено
L|chkNvHdcp|HDCP spento|HDCP off|HDCP desactivado|HDCP aus|HDCP désactivé|HDCP wyłączone|HDCP desativado|HDCP dezactivat|HDCP выключен
L|chkNvPreempt|Prelazione dei calcoli spenta|Compute preemption off|Preferencia de cálculo desactivada|Compute-Preemption aus|Préemption de calcul désactivée|Wywłaszczanie obliczeń wyłączone|Preempção de computação desativada|Preempțiune calcul dezactivată|Вытеснение вычислений выключено
L|chkNvDynPstate|Frequenze sempre al massimo (P0)|Clocks always at maximum (P0)|Frecuencias siempre al máximo (P0)|Takt immer am Maximum (P0)|Fréquences toujours au maximum (P0)|Taktowanie zawsze maksymalne (P0)|Frequências sempre no máximo (P0)|Frecvențe mereu la maxim (P0)|Частоты всегда максимальные (P0)
L|chkNvLatency|Pacchetto latenza del driver|Driver latency pack|Paquete de latencia del controlador|Treiber-Latenzpaket|Pack latence du pilote|Pakiet opóźnień sterownika|Pacote de latência do driver|Pachet latență driver|Пакет задержек драйвера
L|chkAmdAntiLag|Anti-Lag attivo|Anti-Lag on|Anti-Lag activado|Anti-Lag an|Anti-Lag activé|Anti-Lag włączone|Anti-Lag ativado|Anti-Lag activ|Anti-Lag включён
L|chkAmdShaderCache|Cache shader sempre attiva|Shader cache always on|Caché de sombreadores siempre activa|Shader-Cache immer an|Cache de shaders toujours actif|Pamięć shaderów zawsze włączona|Cache de shaders sempre ativo|Cache shader mereu activ|Кэш шейдеров всегда включён
L|chkAmdTexPerf|Filtro texture: prestazioni|Texture filtering: performance|Filtrado de texturas: rendimiento|Texturfilterung: Leistung|Filtrage des textures : performances|Filtrowanie tekstur: wydajność|Filtragem de texturas: desempenho|Filtrare texturi: performanță|Фильтрация текстур: производительность
L|chkAmdTess|Tassellatura limitata dal driver|Tessellation limited by the driver|Teselación limitada por el controlador|Tessellation vom Treiber begrenzt|Tessellation limitée par le pilote|Teselacja ograniczona przez sterownik|Tesselação limitada pelo driver|Teselare limitată de driver|Тесселяция ограничена драйвером
L|chkAmdFlipQueue|Coda dei fotogrammi a 1|Frame queue set to 1|Cola de fotogramas a 1|Frame-Warteschlange auf 1|File d'images à 1|Kolejka klatek na 1|Fila de quadros em 1|Coadă de cadre la 1|Очередь кадров: 1
L|chkAmdNoFrtc|Limite fotogrammi del driver spento|Driver frame limiter off|Limitador de fotogramas del controlador desactivado|Treiber-Framelimiter aus|Limiteur d'images du pilote désactivé|Limit klatek sterownika wyłączony|Limitador de quadros do driver desativado|Limitator de cadre al driverului dezactivat|Ограничитель кадров драйвера выключен
L|chkAmdStutter|Modalità stutter spenta|Stutter mode off|Modo stutter desactivado|Stutter-Modus aus|Mode stutter désactivé|Tryb stutter wyłączony|Modo stutter desativado|Mod stutter dezactivat|Режим stutter выключен
L|chkAmdAspm|Risparmio PCIe della scheda spento|Card PCIe power saving off|Ahorro PCIe de la tarjeta desactivado|PCIe-Energiesparen der Karte aus|Économie PCIe de la carte désactivée|Oszczędzanie PCIe karty wyłączone|Economia PCIe da placa desativada|Economie PCIe a plăcii dezactivată|Энергосбережение PCIe карты выключено
L|chkAmdPowerGating|Power gating spento|Power gating off|Power gating desactivado|Power Gating aus|Power gating désactivé|Power gating wyłączony|Power gating desativado|Power gating dezactivat|Power gating выключен
L|chkAmdDma|Copie DMA e scrittura a blocchi|DMA copies and block write|Copias DMA y escritura por bloques|DMA-Kopien und Blockschreiben|Copies DMA et écriture par blocs|Kopie DMA i zapis blokowy|Cópias DMA e gravação em bloco|Copii DMA și scriere în bloc|Копирование DMA и блочная запись
L|chkAmdPreempt|Prelazione dei calcoli spenta|Compute preemption off|Preferencia de cálculo desactivada|Compute-Preemption aus|Préemption de calcul désactivée|Wywłaszczanie obliczeń wyłączone|Preempção de computação desativada|Preempțiune calcul dezactivată|Вытеснение вычислений выключено
L|ttlPowerAdv|IMPOSTAZIONI DEL PIANO IN USO|SETTINGS OF THE PLAN IN USE|AJUSTES DEL PLAN EN USO|EINSTELLUNGEN DES AKTIVEN PLANS|PARAMÈTRES DU MODE UTILISÉ|USTAWIENIA UŻYWANEGO PLANU|CONFIGURAÇÕES DO PLANO EM USO|SETĂRILE PLANULUI FOLOSIT|НАСТРОЙКИ ТЕКУЩЕЙ СХЕМЫ
L|lblPowerAdvHint|Cambiano subito il piano attivo, sia con l'alimentatore sia a batteria: non serve premere Applica. Se attivi un altro piano, valgono le impostazioni di quello.|They change the active plan right away, both plugged in and on battery: no need to press Apply. If you switch to another plan, its own settings apply.|Cambian al instante el plan activo, con cargador y con batería: no hace falta pulsar Aplicar. Si activas otro plan, se usan los ajustes de ese plan.|Sie ändern den aktiven Plan sofort, am Netz und im Akkubetrieb: Anwenden ist nicht nötig. Wenn du einen anderen Plan aktivierst, gelten dessen Einstellungen.|Ils modifient tout de suite le mode actif, sur secteur comme sur batterie : inutile d'appuyer sur Appliquer. Si vous activez un autre mode, ce sont ses propres paramètres qui comptent.|Zmieniają aktywny plan od razu, na zasilaczu i na baterii: nie trzeba naciskać Zastosuj. Po włączeniu innego planu obowiązują jego ustawienia.|Mudam o plano ativo na hora, na tomada e na bateria: não é preciso clicar em Aplicar. Se você ativar outro plano, valem as configurações dele.|Schimbă imediat planul activ, la priză și pe baterie: nu trebuie apăsat Aplică. Dacă activezi alt plan, se folosesc setările acelui plan.|Сразу меняют активную схему — от сети и от батареи: нажимать «Применить» не нужно. Если включить другую схему, действуют её собственные настройки.
L|radAppsCatalog|Catalogo|Catalog|Catálogo|Katalog|Catalogue|Katalog|Catálogo|Catalog|Каталог
L|radAppsInstalled|Installate|Installed|Instaladas|Installiert|Installées|Zainstalowane|Instalados|Instalate|Установленные
L|lblAppSearchHint|Cerca...|Search...|Buscar...|Suchen...|Rechercher...|Szukaj...|Pesquisar...|Caută...|Поиск...
L|btnAppsClear|Deseleziona|Clear selection|Deseleccionar|Auswahl aufheben|Désélectionner|Odznacz|Desmarcar|Deselectează|Снять выбор
L|btnAppsRefresh|Aggiorna elenco|Refresh list|Actualizar lista|Liste aktualisieren|Actualiser la liste|Odśwież listę|Atualizar lista|Reîmprospătează lista|Обновить список
L|lblProfileQueued|Scegli un profilo: entra tra le modifiche da applicare. Un secondo clic lo toglie.|Pick a profile: it joins the changes to apply. A second click removes it.|Elige un perfil: se suma a los cambios por aplicar. Un segundo clic lo quita.|Wähle ein Profil: Es kommt zu den anzuwendenden Änderungen. Ein zweiter Klick entfernt es.|Choisis un profil : il rejoint les modifications à appliquer. Un second clic le retire.|Wybierz profil: dołączy do zmian do zastosowania. Drugie kliknięcie go usuwa.|Escolha um perfil: ele entra nas alterações a aplicar. Um segundo clique o remove.|Alege un profil: intră printre modificările de aplicat. Un al doilea clic îl scoate.|Выберите профиль: он добавится к изменениям. Повторный щелчок убирает его.
L|ttlProfile|PROFILO DA APPLICARE|PROFILE TO APPLY|PERFIL A APLICAR|ANZUWENDENDES PROFIL|PROFIL À APPLIQUER|PROFIL DO ZASTOSOWANIA|PERFIL A APLICAR|PROFIL DE APLICAT|ПРИМЕНЯЕМЫЙ ПРОФИЛЬ
L|lblDrivesHint|Dischi installati e spazio libero di ogni volume.|Installed drives and free space on each volume.|Discos instalados y espacio libre de cada volumen.|Installierte Laufwerke und freier Speicher je Volume.|Disques installés et espace libre de chaque volume.|Zainstalowane dyski i wolne miejsce na każdym woluminie.|Discos instalados e espaço livre de cada volume.|Discuri instalate și spațiul liber al fiecărui volum.|Установленные диски и свободное место на томах.
L|chkStorageProfile|Profilo del disco|Disk profile|Perfil del disco|Laufwerksprofil|Profil du disque|Profil dysku|Perfil do disco|Profilul discului|Профиль диска
M|catCustom|Personalizzato|Custom|Personalizado|Benutzerdefiniert|Personnalisé|Niestandardowe|Personalizado|Personalizat|Своё значение
M|svcAuto|Automatico|Automatic|Automático|Automatisch|Automatique|Automatyczny|Automático|Automat|Автоматически
M|svcAutoDelayed|Automatico ritardato|Automatic (delayed)|Automático (retrasado)|Automatisch (verzögert)|Automatique (différé)|Automatyczny (opóźniony)|Automático (atrasado)|Automat (întârziat)|Автоматически (отложенный)
M|svcManual|Manuale|Manual|Manual|Manuell|Manuel|Ręczny|Manual|Manual|Вручную
M|svcDisabled|Disattivato|Disabled|Deshabilitado|Deaktiviert|Désactivé|Wyłączony|Desativado|Dezactivat|Отключена
M|recYes|Consigliata|Recommended|Recomendada|Empfohlen|Recommandée|Zalecane|Recomendada|Recomandată|Рекомендуется
M|recLimited|Consigliata con limitazioni|Recommended with limits|Recomendada con limitaciones|Mit Einschränkungen empfohlen|Recommandée avec réserves|Zalecane z ograniczeniami|Recomendada com limitações|Recomandată cu limitări|С ограничениями
M|recNo|Sconsigliata: toglie una funzione utile|Not recommended: removes a useful feature|No recomendada: quita una función útil|Nicht empfohlen: entfernt eine nützliche Funktion|Déconseillée : retire une fonction utile|Niezalecane: usuwa przydatną funkcję|Não recomendada: remove um recurso útil|Nerecomandată: elimină o funcție utilă|Не рекомендуется: убирает полезную функцию
M|aiTag|IA|AI|IA|KI|IA|AI|IA|IA|ИИ
M|aiRelevant|Riguarda le funzioni di intelligenza artificiale|Concerns artificial intelligence features|Afecta a las funciones de inteligencia artificial|Betrifft Funktionen der künstlichen Intelligenz|Concerne les fonctions d'intelligence artificielle|Dotyczy funkcji sztucznej inteligencji|Afeta os recursos de inteligência artificial|Privește funcțiile de inteligență artificială|Касается функций искусственного интеллекта
M|catBulkTitle|Modifica di più impostazioni|Change several settings|Cambiar varios ajustes|Mehrere Einstellungen ändern|Modifier plusieurs paramètres|Zmiana wielu ustawień|Alterar várias configurações|Modificarea mai multor setări|Изменение нескольких параметров
M|applyRecYes|Applica le consigliate|Apply recommended|Aplicar las recomendadas|Empfohlene anwenden|Appliquer les recommandées|Zastosuj zalecane|Aplicar as recomendadas|Aplică cele recomandate|Применить рекомендуемые
M|applyRecLimited|Consigliate e con limitazioni|Recommended and limited|Recomendadas y con limitaciones|Empfohlene und eingeschränkte|Recommandées et avec réserves|Zalecane i z ograniczeniami|Recomendadas e com limitações|Recomandate și cu limitări|Рекомендуемые и с ограничениями
M|applyRecAll|Applica tutte|Apply all|Aplicar todas|Alle anwenden|Tout appliquer|Zastosuj wszystkie|Aplicar todas|Aplică toate|Применить все
M|undoAllFactory|Annulla tutto (impostazioni di fabbrica)|Undo all (factory settings)|Deshacer todo (valores de fábrica)|Alles zurücksetzen (Werkseinstellungen)|Tout annuler (paramètres d'usine)|Cofnij wszystko (ustawienia fabryczne)|Desfazer tudo (padrões de fábrica)|Anulează tot (setări din fabrică)|Отменить всё (заводские настройки)
M|makeRestorePoint|Crea un punto di ripristino|Create a restore point|Crear un punto de restauración|Wiederherstellungspunkt erstellen|Créer un point de restauration|Utwórz punkt przywracania|Criar um ponto de restauração|Creează un punct de restaurare|Создать точку восстановления
M|askRecYes|Attivo tutte le protezioni consigliate, senza toccare le altre. Procedo?|I'll turn on every recommended protection and leave the rest alone. Go ahead?|Activo todas las protecciones recomendadas sin tocar las demás. ¿Sigo?|Ich aktiviere alle empfohlenen Schutzfunktionen, der Rest bleibt unverändert. Fortfahren?|J'active toutes les protections recommandées sans toucher aux autres. Je continue ?|Włączę wszystkie zalecane zabezpieczenia, reszty nie ruszam. Kontynuować?|Vou ativar todas as proteções recomendadas sem mexer nas outras. Continuo?|Activez toate protecțiile recomandate, fără să le ating pe celelalte. Continui?|Включу все рекомендуемые защиты, остальные не трону. Продолжить?
M|askRecLimited|Attivo le consigliate e quelle con limitazioni: qualche funzione potrebbe smettere di funzionare. Procedo?|I'll turn on recommended and limited ones: some features may stop working. Go ahead?|Activo las recomendadas y las limitadas: alguna función podría dejar de ir. ¿Sigo?|Ich aktiviere empfohlene und eingeschränkte: Manche Funktionen könnten ausfallen. Fortfahren?|J'active les recommandées et celles avec réserves : certaines fonctions pourraient cesser de marcher. Je continue ?|Włączę zalecane i ograniczone: niektóre funkcje mogą przestać działać. Kontynuować?|Vou ativar as recomendadas e as limitadas: alguns recursos podem parar. Continuo?|Activez cele recomandate și cu limitări: unele funcții pot înceta să meargă. Continui?|Включу рекомендуемые и с ограничениями: часть функций может перестать работать. Продолжить?
M|askRecAll|Attivo tutte le voci, anche le sconsigliate: fotocamera, microfono e altre funzioni verranno bloccate. Procedo?|I'll turn on everything, even the not-recommended ones: camera, microphone and other features will be blocked. Go ahead?|Activo todo, también lo no recomendado: se bloquearán cámara, micrófono y otras funciones. ¿Sigo?|Ich aktiviere alles, auch nicht Empfohlenes: Kamera, Mikrofon und weitere Funktionen werden blockiert. Fortfahren?|J'active tout, même le déconseillé : caméra, micro et d'autres fonctions seront bloqués. Je continue ?|Włączę wszystko, także niezalecane: kamera, mikrofon i inne funkcje zostaną zablokowane. Kontynuować?|Vou ativar tudo, até o não recomendado: câmera, microfone e outros recursos serão bloqueados. Continuo?|Activez tot, chiar și cele nerecomandate: camera, microfonul și alte funcții vor fi blocate. Continui?|Включу всё, даже нерекомендуемое: камера, микрофон и другие функции будут заблокированы. Продолжить?
M|askFactory|Riporto ogni voce della pagina com'era su Windows appena installato. Procedo?|I'll put every item on this page back as on a fresh Windows install. Go ahead?|Devuelvo cada opción de la página a como estaba en un Windows recién instalado. ¿Sigo?|Ich setze jeden Eintrag der Seite auf den Stand einer frischen Windows-Installation. Fortfahren?|Je remets chaque élément de la page comme sur un Windows fraîchement installé. Je continue ?|Przywrócę każdą pozycję strony do stanu świeżej instalacji Windows. Kontynuować?|Vou deixar cada item da página como num Windows recém-instalado. Continuo?|Readuc fiecare element al paginii ca la un Windows proaspăt instalat. Continui?|Верну каждый пункт страницы к состоянию свежей установки Windows. Продолжить?
M|privLegend|Interruttore acceso = protezione attiva. Pallino verde consigliata, arancio con limitazioni, rosso sconsigliata. IA = riguarda l'intelligenza artificiale.|Switch on = protection active. Green dot recommended, orange with limits, red not recommended. AI = concerns artificial intelligence.|Interruptor encendido = protección activa. Punto verde recomendada, naranja con limitaciones, rojo no recomendada. IA = afecta a la inteligencia artificial.|Schalter an = Schutz aktiv. Grüner Punkt empfohlen, orange eingeschränkt, rot nicht empfohlen. KI = betrifft künstliche Intelligenz.|Interrupteur activé = protection active. Point vert recommandée, orange avec réserves, rouge déconseillée. IA = concerne l'intelligence artificielle.|Przełącznik włączony = ochrona aktywna. Zielona kropka zalecane, pomarańczowa z ograniczeniami, czerwona niezalecane. AI = dotyczy sztucznej inteligencji.|Chave ligada = proteção ativa. Ponto verde recomendada, laranja com limitações, vermelho não recomendada. IA = afeta a inteligência artificial.|Comutator pornit = protecție activă. Punct verde recomandată, portocaliu cu limitări, roșu nerecomandată. IA = privește inteligența artificială.|Переключатель включён = защита активна. Зелёная точка — рекомендуется, оранжевая — с ограничениями, красная — не рекомендуется. ИИ — касается искусственного интеллекта.
M|scopeUser|Utente corrente|Current user|Usuario actual|Aktueller Benutzer|Utilisateur actuel|Bieżący użytkownik|Usuário atual|Utilizator curent|Текущий пользователь
M|scopeMachine|Macchina locale|Local machine|Equipo local|Lokaler Computer|Ordinateur local|Komputer lokalny|Máquina local|Computer local|Локальный компьютер
M|scopeAll|Tutte|All|Todas|Alle|Toutes|Wszystkie|Todas|Toate|Все
M|applyRecommended|Applica le consigliate|Apply recommended|Aplicar las recomendadas|Empfohlene anwenden|Appliquer les recommandées|Zastosuj zalecane|Aplicar as recomendadas|Aplică cele recomandate|Применить рекомендуемые
M|restoreWindows|Predefiniti di Windows|Windows defaults|Valores de Windows|Windows-Standard|Valeurs de Windows|Domyślne Windows|Padrões do Windows|Implicite Windows|Значения Windows
M|askRecommended|Porto le voci di questa pagina sui valori consigliati. Quelle senza consiglio restano come sono. Procedo?|I'll set this page's items to the recommended values. Items without a recommendation stay as they are. Go ahead?|Pongo las opciones de esta página en los valores recomendados. Las que no tienen recomendación no cambian. ¿Sigo?|Ich setze die Einträge dieser Seite auf die empfohlenen Werte. Einträge ohne Empfehlung bleiben. Fortfahren?|Je règle les éléments de cette page sur les valeurs recommandées. Ceux sans recommandation ne changent pas. Je continue ?|Ustawię pozycje tej strony na wartości zalecane. Te bez zalecenia pozostaną bez zmian. Kontynuować?|Vou colocar os itens desta página nos valores recomendados. Os sem recomendação ficam como estão. Continuo?|Pun elementele acestei pagini pe valorile recomandate. Cele fără recomandare rămân la fel. Continui?|Установлю пункты этой страницы на рекомендуемые значения. Пункты без рекомендации не изменятся. Продолжить?
M|askWindowsDefaults|Riporto le voci di questa pagina ai valori di Windows appena installato. Procedo?|I'll put this page's items back to the values of a fresh Windows install. Go ahead?|Devuelvo las opciones de esta página a los valores de un Windows recién instalado. ¿Sigo?|Ich setze die Einträge dieser Seite auf die Werte einer frischen Windows-Installation. Fortfahren?|Je remets les éléments de cette page aux valeurs d'un Windows fraîchement installé. Je continue ?|Przywrócę pozycje tej strony do wartości świeżej instalacji Windows. Kontynuować?|Vou voltar os itens desta página aos valores de um Windows recém-instalado. Continuo?|Readuc elementele acestei pagini la valorile unui Windows proaspăt instalat. Continui?|Верну пункты этой страницы к значениям свежей установки Windows. Продолжить?
M|restartExplorer|Riavvia Esplora risorse|Restart File Explorer|Reiniciar el Explorador|Explorer neu starten|Redémarrer l'Explorateur|Uruchom ponownie Eksplorator|Reiniciar o Explorador|Repornește Explorer|Перезапустить проводник
M|catSearch|Cerca un'impostazione...|Search a setting...|Buscar un ajuste...|Einstellung suchen...|Rechercher un paramètre...|Szukaj ustawienia...|Pesquisar uma configuração...|Caută o setare...|Найти параметр...
M|catLoading|Lettura dello stato delle impostazioni...|Reading the settings state...|Leyendo el estado de los ajustes...|Einstellungen werden gelesen...|Lecture de l'état des paramètres...|Odczyt stanu ustawień...|Lendo o estado das configurações...|Se citește starea setărilor...|Чтение состояния параметров...
M|restoreDone|Punto di ripristino creato.|Restore point created.|Punto de restauración creado.|Wiederherstellungspunkt erstellt.|Point de restauration créé.|Punkt przywracania utworzony.|Ponto de restauração criado.|Punct de restaurare creat.|Точка восстановления создана.
M|restoreFail|Punto di ripristino non creato: controlla che Protezione sistema sia attiva.|Restore point not created: check that System Protection is on.|Punto de restauración no creado: comprueba que Protección del sistema esté activa.|Wiederherstellungspunkt nicht erstellt: Prüfe, ob der Computerschutz aktiv ist.|Point de restauration non créé : vérifie que la Protection du système est activée.|Nie utworzono punktu przywracania: sprawdź, czy Ochrona systemu jest włączona.|Ponto de restauração não criado: verifique se a Proteção do Sistema está ativa.|Punctul de restaurare nu a fost creat: verifică dacă Protecția sistemului este activă.|Точка восстановления не создана: проверьте, что защита системы включена.
M|diskSystem|Sistema|System|Sistema|System|Système|System|Sistema|Sistem|Система
M|diskHealthy|Disco in salute|Healthy disk|Disco en buen estado|Laufwerk in Ordnung|Disque en bon état|Dysk sprawny|Disco saudável|Disc sănătos|Диск исправен
M|diskWarning|Il disco segnala problemi: fai un backup|The disk reports problems: make a backup|El disco indica problemas: haz una copia de seguridad|Das Laufwerk meldet Probleme: Sichere deine Daten|Le disque signale des problèmes : fais une sauvegarde|Dysk zgłasza problemy: zrób kopię zapasową|O disco relata problemas: faça um backup|Discul raportează probleme: fă o copie de rezervă|Диск сообщает о проблемах: сделайте резервную копию
M|volFree|{0} liberi su {1}|{0} free of {1}|{0} libres de {1}|{0} frei von {1}|{0} libres sur {1}|{0} wolne z {1}|{0} livres de {1}|{0} libere din {1}|{0} свободно из {1}
M|profileSysSsd|Windows è installato su un {0} ({1}): ti consigliamo il profilo SSD / NVMe.|Windows is installed on an {0} ({1}): we recommend the SSD / NVMe profile.|Windows está instalado en un {0} ({1}): te recomendamos el perfil SSD / NVMe.|Windows ist auf einer {0} installiert ({1}): Wir empfehlen das Profil SSD / NVMe.|Windows est installé sur un {0} ({1}) : nous conseillons le profil SSD / NVMe.|Windows jest zainstalowany na {0} ({1}): zalecamy profil SSD / NVMe.|O Windows está instalado em um {0} ({1}): recomendamos o perfil SSD / NVMe.|Windows este instalat pe un {0} ({1}): îți recomandăm profilul SSD / NVMe.|Windows установлен на {0} ({1}): рекомендуем профиль SSD / NVMe.
M|profileSysHdd|Windows è installato su un disco meccanico ({0}): ti consigliamo il profilo HDD.|Windows is installed on a mechanical drive ({0}): we recommend the HDD profile.|Windows está instalado en un disco mecánico ({0}): te recomendamos el perfil HDD.|Windows ist auf einer Festplatte installiert ({0}): Wir empfehlen das HDD-Profil.|Windows est installé sur un disque mécanique ({0}) : nous conseillons le profil HDD.|Windows jest zainstalowany na dysku talerzowym ({0}): zalecamy profil HDD.|O Windows está instalado em um disco mecânico ({0}): recomendamos o perfil HDD.|Windows este instalat pe un disc mecanic ({0}): îți recomandăm profilul HDD.|Windows установлен на жёсткий диск ({0}): рекомендуем профиль HDD.
M|profileSysUnknown|Non riesco a capire su che disco si trova Windows: scegli tu il profilo.|I can't tell which drive Windows is on: pick the profile yourself.|No puedo saber en qué disco está Windows: elige tú el perfil.|Ich erkenne nicht, auf welchem Laufwerk Windows liegt: Wähle das Profil selbst.|Je ne vois pas sur quel disque se trouve Windows : choisis le profil toi-même.|Nie wiem, na którym dysku jest Windows: wybierz profil samodzielnie.|Não consigo saber em que disco está o Windows: escolha o perfil você.|Nu pot afla pe ce disc este Windows: alege tu profilul.|Не удалось определить диск Windows: выберите профиль сами.
M|recommendedTag|(consigliato)|(recommended)|(recomendado)|(empfohlen)|(recommandé)|(zalecane)|(recomendado)|(recomandat)|(рекомендуется)
M|lic_os|Open source|Open source|Código abierto|Open Source|Open source|Open source|Código aberto|Open source|Открытый код
M|lic_fw|Freeware|Freeware|Freeware|Freeware|Gratuiciel|Freeware|Freeware|Freeware|Бесплатно
M|lic_fr|Gratuita + a pagamento|Free + paid|Gratis + de pago|Kostenlos + kostenpflichtig|Gratuit + payant|Darmowa + płatna|Grátis + pago|Gratuit + plătit|Бесплатно + платно
