g.exp.desk	Ikony pulpitu
notif.startupApp	Komunikat o nowych aplikacjach autostartu
notif.locPrompt	Komunikat, gdy aplikacje proszą o lokalizację
notif.dst	Komunikat o zmianie czasu
notif.secMaint	Zabezpieczenia i konserwacja
notif.defender	Powiadomienia Zabezpieczeń Windows
g.notif.sound	Dźwięki
notif.bootSound	Dźwięk uruchamiania Windows
notif.ducking	Podczas rozmów
notif.ducking#mute	Wycisz inne dźwięki
notif.ducking#80	Ścisz inne dźwięki o 80%
notif.ducking#50	Ścisz inne dźwięki o 50%
notif.ducking#none	Nic nie rób
notif.voiceAct	Aktywacja głosowa aplikacji
notif.accSounds	Dźwięki aktywacji ułatwień dostępu
notif.accWarn	Dźwięki ostrzeżeń ułatwień dostępu
g.notif.access	Skróty ułatwień dostępu
notif.filterKeys	Klawisze filtru (prawy Shift przez 8 sekund)
notif.toggleKeys	Klawisze przełączające (Num Lock przez 5 sekund)
notif.mouseKeys	Klawisze myszy (Alt+Shift+Num Lock)
notif.contrast	Duży kontrast (Alt+Shift+Print Screen)
notif.narrator	Narrator (Win+Ctrl+Enter)
notif.hoverTime	Czas zatrzymania wskaźnika
notif.hoverTime#10	Natychmiast (10 ms)
notif.hoverTime#100	Szybko (100 ms)
notif.hoverTime#200	Średnio (200 ms)
notif.hoverTime#def	Domyślnie (400 ms)
g.game.gfx	Grafika i gry
game.windowed	Optymalizacje gier w oknie
game.vrr	Zmienna częstotliwość dla niewspieranych gier
game.autoHdr	Auto HDR
game.gbController	Game Bar z przycisku Xbox kontrolera
game.gbTips	Porady przy starcie Game Bar
game.jpegFull	Tapeta w pełnej jakości
game.startDelay	Opóźnienie aplikacji autostartu
game.altTab	Alt+Tab pokazuje
game.altTab#open	Tylko otwarte okna
game.altTab#five	Okna i 5 ostatnich kart
game.altTab#three	Okna i 3 ostatnie karty
game.altTab#all	Okna i wszystkie karty
g.game.vfx	Efekty wizualne
game.fxControls	Animuj kontrolki w oknach
game.fxMinMax	Animacja minimalizacji i maksymalizacji
game.fxTaskbar	Animacje paska zadań
game.fxPeek	Podgląd pulpitu (Peek)
game.fxMenuFade	Zanikanie lub przesuwanie menu
game.fxTipFade	Zanikanie lub przesuwanie etykietek
game.fxItemFade	Zanikanie elementów menu po kliknięciu
game.fxCursorShadow	Cień wskaźnika
game.fxWinShadow	Cienie pod oknami
game.fxCombo	Wysuwanie pól kombi
game.fxSmoothList	Płynne przewijanie list
game.fxSelRect	Półprzezroczysty prostokąt zaznaczenia
game.fxDrag	Zawartość okna podczas przeciągania
game.fxFonts	Wygładzanie czcionek
game.fxIconShadow	Cienie pod nazwami ikon
game.fxThumbCache	Zapisuj podglądy miniatur paska
g.win.sec	Zabezpieczenia
win.uac	Kontrola konta użytkownika
win.uac#always	Zawsze powiadamiaj
win.uac#notify	Powiadamiaj, gdy aplikacje wprowadzają zmiany
win.uac#nodim	Jak wyżej, bez przyciemniania
win.uac#never	Nigdy nie powiadamiaj
win.psPolicy	Uruchamianie skryptów PowerShell
win.psPolicy#restricted	Zablokowane (domyślnie)
win.psPolicy#remote	Lokalne tak, pobrane tylko podpisane
win.psPolicy#signed	Tylko podpisane skrypty
win.psPolicy#all	Wszystkie, z ostrzeżeniem
win.psPolicy#bypass	Wszystkie, bez ostrzeżenia
win.devMode	Tryb dewelopera
win.workplace	Monity «Zezwól organizacji na zarządzanie urządzeniem»
g.win.upd	Windows Update: preferencje
win.wuLatest	Nowości od razu, gdy są dostępne
win.wuOther	Aktualizacje innych produktów Microsoft
win.wuExpedite	Aktualizuj mnie jak najszybciej
win.wuRestartNote	Powiadamiaj, gdy potrzebny jest restart
win.wuMetered	Pobieraj przez połączenia taryfowe
g.win.svc	Usługi
win.svcCdp	Platforma urządzeń połączonych
win.svcWmpShare	Udostępnianie Windows Media Player
win.svcMixed	Rzeczywistość mieszana OpenXR
win.svcHotspot	Mobilny punkt dostępu
win.svcSms	Router SMS
win.svcNfc	Płatności i NFC
win.svcSpot	Weryfikator punktowy
win.svcTapi	Telefonia (TAPI)
g.win.tasks	Zaplanowane zadania
win.tAppraiser	Ocena zgodności Microsoft
win.tPdu	Aktualizator danych programów
win.tStartupApp	Analiza aplikacji autostartu
win.tCeip	Program poprawy jakości obsługi
win.tDiskDiag	Zbieranie diagnostyki dysków
win.tFeedback	Prośby o opinie
win.tWer	Kolejka raportów błędów
win.tMaps	Aktualizacja i komunikaty map
win.tAutochk	Serwer proxy Autochk
win.tFamily	Monitor Family Safety
win.tPowerDiag	Diagnostyka wydajności energetycznej
win.tSqm	Zadania SQM
g.priv.uPriv	Prywatność
pv.timeline	Bez sugestii na osi czasu
pv.startSugg	Bez sugestii w Start
pv.settingsSugg	Bez sugerowanej zawartości w Ustawieniach
pv.silentApps	Bez cicho instalowanych aplikacji
pv.accountNotif	Bez komunikatów o koncie w Ustawieniach
pv.langList	Nie udostępniaj listy języków stronom
pv.textPred	Bez podpowiedzi na klawiaturze dotykowej
g.priv.uClip	Historia aktywności i schowek
pv.clipHist	Nie przechowuj historii schowka
pv.clipCloud	Nie synchronizuj schowka w chmurze
g.priv.uApps	Prywatność aplikacji
pv.uAccount	Blokuj dostęp do informacji o koncie
pv.uDiag	Blokuj dostęp do diagnostyki innych aplikacji
pv.uMotion	Blokuj dostęp do danych ruchu
pv.uDevices	Blokuj komunikację z niesparowanymi urządzeniami
pv.uGaze	Blokuj dostęp do śledzenia wzroku
pv.uContacts	Blokuj dostęp do kontaktów
pv.uCalendar	Blokuj dostęp do kalendarza
pv.uCallHist	Blokuj dostęp do historii połączeń
pv.uCalls	Blokuj połączenia z aplikacji
pv.uEmail	Blokuj dostęp do poczty
pv.uTasks	Blokuj dostęp do zadań
pv.uMessages	Blokuj dostęp do wiadomości
pv.uRadios	Blokuj sterowanie radiami
pv.uNotifications	Blokuj dostęp do powiadomień
pv.uLocation	Blokuj dostęp do lokalizacji
pv.uCamera	Blokuj dostęp do kamery
pv.uMic	Blokuj dostęp do mikrofonu
pv.uDocs	Blokuj dostęp do dokumentów
pv.uPics	Blokuj dostęp do obrazów
pv.uVideos	Blokuj dostęp do wideo
pv.uFiles	Blokuj dostęp do całego systemu plików
g.priv.uSync	Synchronizacja ustawień
pv.syncPwd	Nie synchronizuj haseł
pv.syncTheme	Nie synchronizuj motywu i tapety
pv.syncLang	Nie synchronizuj języków
pv.syncAccess	Nie synchronizuj ułatwień dostępu
pv.syncOther	Nie synchronizuj innych ustawień Windows
g.priv.uSpeech	Mowa i wprowadzanie
pv.speech	Wyłącz rozpoznawanie mowy online
pv.voiceAct	Aplikacje nie nasłuchują słowa aktywacji
g.priv.uAi	Sztuczna inteligencja Windows
pv.uRecall	Wyłącz Recall
pv.uClickToDo	Wyłącz Click to Do
pv.copilotAvail	Ukryj Copilot w powłoce
pv.bingChat	Wyłącz wbudowany czat Bing
pv.insights	Wyłącz analizy pisania
pv.nudges	Bez zaproszeń do wypróbowania Copilot
pv.copilotMic	Copilot nie może używać mikrofonu
pv.wordCopilot	Wyłącz Copilot w Word
pv.excelCopilot	Wyłącz Copilot w Excel
pv.officeCloud	Ogranicz usługi online Office
g.priv.uBehav	Zachowanie użytkownika
pv.thirdParty	Bez sugestii firm zewnętrznych
pv.spotSettings	Bez Spotlight w Ustawieniach
pv.spotAll	Wyłącz wszystkie funkcje Spotlight
pv.wmp	Windows Media Player nie śledzi użycia
g.priv.uLock	Ekran blokady
pv.lockSpot	Bez obrazów Spotlight na ekranie blokady
g.priv.uSearch	Wyszukiwanie
pv.searchHist	Nie przechowuj historii wyszukiwania
pv.searchHigh	Bez wyróżnień w wyszukiwaniu
pv.searchMsa	Nie przeszukuj zawartości konta Microsoft
pv.searchAad	Nie przeszukuj zawartości konta służbowego
g.priv.uBar	Pasek zadań
pv.meetNow	Ukryj Rozpocznij spotkanie
g.priv.uMisc	Różne
pv.resume	Nie wznawiaj na PC aktywności z telefonu
g.priv.mSec	Zabezpieczenia
pv.pwdReveal	Ukryj przycisk pokazywania hasła
pv.lockCam	Wyłącz kamerę na ekranie blokady
pv.kms	Bez weryfikacji online aktywacji KMS
pv.drm	Bez dostępu do Internetu dla DRM Windows Media
g.priv.mPriv	Prywatność
pv.deviceName	Nie wysyłaj nazwy komputera z telemetrią
pv.diagLogs	Ogranicz zbieranie dzienników diagnostycznych
pv.dumps	Ogranicz wysyłanie zrzutów pamięci
pv.oneSettings	Nie pobieraj konfiguracji telemetrii
pv.diagViewer	Wyłącz podgląd danych diagnostycznych
pv.ceip	Opuść program poprawy jakości obsługi
pv.handErr	Nie wysyłaj błędów rozpoznawania pisma
pv.handShare	Nie udostępniaj danych pióra
pv.inputPers	Wyłącz personalizację wprowadzania
pv.onlineTips	Bez porad online w Ustawieniach
pv.helpFb	Bez ocen Pomocy
pv.wer	Wyłącz raportowanie błędów
pv.cloudContent	Bez treści optymalizowanych w chmurze
pv.softLanding	Bez porad Windows
pv.consumerAcct	Bez treści powiązanych z kontem konsumenckim
g.priv.mClip	Historia aktywności i schowek
pv.mClip	Wyłącz historię schowka dla wszystkich
pv.crossClip	Bez schowka między urządzeniami
g.priv.mApps	Prywatność aplikacji
pv.mAccount	Odmów aplikacjom informacji o koncie
pv.mDiag	Odmów aplikacjom diagnostyki innych aplikacji
pv.mMotion	Odmów aplikacjom danych ruchu
pv.mTrusted	Odmów aplikacjom zaufanych urządzeń
pv.mSync	Odmów aplikacjom niesparowanych urządzeń
pv.mGaze	Odmów aplikacjom śledzenia wzroku
pv.mSpatial	Odmów aplikacjom percepcji przestrzennej w tle
pv.mVoice	Odmów aplikacjom aktywacji głosowej
pv.mContacts	Odmów aplikacjom kontaktów
pv.mCalendar	Odmów aplikacjom kalendarza
pv.mCallHist	Odmów aplikacjom historii połączeń
pv.mPhone	Odmów aplikacjom połączeń
pv.mEmail	Odmów aplikacjom poczty
pv.mTasks	Odmów aplikacjom zadań
pv.mMessages	Odmów aplikacjom wiadomości
pv.mRadios	Odmów aplikacjom sterowania radiami
pv.mNotif	Odmów aplikacjom powiadomień
pv.mLocation	Odmów aplikacjom lokalizacji
pv.mCamera	Odmów aplikacjom kamery
pv.mMic	Odmów aplikacjom mikrofonu
g.priv.mEdge	Microsoft Edge
pv.eDnt	Proś witryny o nieśledzenie
pv.ePayment	Witryny nie sprawdzają zapisanych metod płatności
pv.ePersonal	Bez personalizacji reklam i wiadomości
pv.eFeedback	Ukryj opinie użytkowników
pv.eLocalProv	Bez sugestii lokalnych dostawców
pv.eShopping	Wyłącz asystenta zakupów
pv.eBar	Wyłącz pasek Edge
pv.eNavErr	Nie rozwiązuj błędów nawigacji online
pv.ePreload	Nie ładuj stron z wyprzedzeniem
pv.eDiag	Bez danych diagnostycznych z Edge
pv.eRewards	Ukryj Microsoft Rewards
pv.eIeRedirect	Nie otwieraj witryn Internet Explorer w Edge
pv.eCcFill	Nie zapisuj kart kredytowych
pv.eAddrFill	Nie wypełniaj automatycznie adresów
pv.eSearchSugg	Bez sugestii wyszukiwania
pv.eSiteSafety	Bez informacji o witrynach z usług Microsoft
pv.eSpell	Tylko lokalne sprawdzanie pisowni
pv.eNewTab	Nowa karta bez wiadomości
pv.ePwd	Nie zapisuj haseł
pv.eSmartScreen	Wyłącz SmartScreen w Edge
pv.eTypo	Wyłącz sprawdzanie literówek w adresach
g.priv.mEdgeAi	Microsoft Edge i AI
pv.ePageCtx	Copilot nie może czytać otwartych stron
pv.eCompose	Bez pisania wspomaganego przez AI
pv.eHistAi	Bez wyszukiwania AI w historii
pv.eShareHist	Nie udostępniaj historii Copilotowi
pv.eThemes	Bez motywów generowanych przez AI
pv.eM365	Ukryj ikonę Copilot dla Microsoft 365
pv.eBuiltinAi	Bez wbudowanych API AI dla witryn
g.priv.mSearch	Cortana i wyszukiwanie
pv.cortana	Wyłącz Cortanę
pv.cloudSearch	Bez wyszukiwania w chmurze
pv.webSearch	Bez wyszukiwania w sieci ze Start
pv.searchLoc	Wyszukiwanie nie używa lokalizacji
pv.mHighlights	Bez wyróżnień wyszukiwania dla wszystkich
g.priv.mAi	Sztuczna inteligencja Windows
pv.mClickToDo	Wyłącz Click to Do dla wszystkich
pv.agents	Wyłącz agentów AI
pv.settingsAgent	Wyłącz agenta Ustawień
pv.copilotRt	Wyłącz środowisko uruchomieniowe Copilot
pv.genAi	Odmów aplikacjom generatywnej AI
pv.notepadAi	Wyłącz AI w Notatniku
pv.paintAi	Wyłącz tworzenie obrazów AI w Paint
pv.paintBg	Wyłącz usuwanie tła w Paint
g.priv.mLoc	Usługi lokalizacji
pv.winLocProv	Wyłącz dostawcę lokalizacji Windows
pv.locScript	Bez skryptów lokalizacji
pv.mapsAuto	Bez automatycznych aktualizacji map
pv.sensors	Wyłącz czujniki
pv.findDevice	Wyłącz Znajdź moje urządzenie
g.priv.mUpd	Windows Update
pv.speechUpd	Bez aktualizacji modeli mowy
pv.mrtReport	Nie wysyłaj wyników narzędzia do usuwania złośliwego oprogramowania
pv.preview	Blokuj wersje zapoznawcze Windows
pv.noReboot	Bez automatycznych restartów przy zalogowanych użytkownikach
pv.mrtOffer	Nie pobieraj narzędzia do usuwania złośliwego oprogramowania
g.priv.mDef	Microsoft Defender i SpyNet
pv.samples	Nie wysyłaj próbek plików
pv.spynet	Opuść Microsoft MAPS (SpyNet)
pv.defNotif	Bez rozszerzonych powiadomień Defender
g.priv.mExp	Eksplorator plików
pv.openWith	Bez wyszukiwania w Sklepie w «Otwórz za pomocą»
pv.kfm	OneDrive nie przenosi folderów osobistych
g.priv.mMobile	Urządzenia przenośne
pv.phoneLink	Wyłącz łączenie telefonu z PC
pv.cdp	Wyłącz funkcje między urządzeniami
g.priv.mBar	Pasek zadań
pv.mMeetNow	Ukryj Rozpocznij spotkanie dla wszystkich
pv.chatIcon	Ukryj czat dla wszystkich
g.priv.mSync	Synchronizacja ustawień
pv.credSync	Nie synchronizuj haseł nikomu
pv.allSync	Wyłącz synchronizację ustawień
g.priv.mMisc	Różne
pv.wifiSense	Wyłącz Czujnik Wi-Fi
g.power.cpu	Procesor
pw.cpuMin	Minimalny stan procesora
pw.cpuMax	Maksymalny stan procesora
pw.cpuMax#99	99% (bez turbo)
pw.boost	Tryb turbo
pw.boost#0	Wyłączony
pw.boost#1	Włączony
pw.boost#2	Agresywny
pw.boost#3	Wydajny
pw.boost#4	Wydajny agresywny
pw.epp	Preferencja wydajności lub oszczędności (EPP)
pw.epp#0	Maksymalna wydajność (0)
pw.epp#25	Wydajność (25)
pw.epp#50	Zrównoważony (50)
pw.epp#80	Oszczędność (80)
pw.parkMin	Rdzenie zawsze aktywne (parkowanie)
pw.parkMin#100	100% (bez parkowania)
pw.cooling	Zasady chłodzenia
pw.cooling#0	Pasywne (najpierw zwalnia)
pw.cooling#1	Aktywne (najpierw wentylatory)
pw.incPolicy	Wzrost wydajności
pw.incPolicy#0	Idealny
pw.incPolicy#1	Krok po kroku
pw.incPolicy#2	Natychmiastowy
pw.incPolicy#3	Idealny agresywny
pw.decPolicy	Spadek wydajności
pw.decPolicy#0	Idealny
pw.decPolicy#1	Krok po kroku
pw.decPolicy#2	Natychmiastowy
g.power.dev	Urządzenia
pw.pcie	Oszczędzanie energii PCI Express
pw.pcie#0	Wyłączone
pw.pcie#1	Umiarkowane
pw.pcie#2	Maksymalne
pw.usbSuspend	Selektywne wstrzymywanie USB
pw.usbSuspend#0	Wyłączone
pw.usbSuspend#1	Włączone
pw.usb3Lpm	Zarządzanie energią łącza USB 3
pw.usb3Lpm#0	Wyłączone
pw.usb3Lpm#1	Minimalne
pw.usb3Lpm#2	Umiarkowane
pw.usb3Lpm#3	Maksymalne
pw.wifi	Oszczędzanie energii karty Wi-Fi
pw.wifi#0	Maksymalna wydajność
pw.wifi#1	Niskie oszczędzanie
pw.wifi#2	Średnie oszczędzanie
pw.wifi#3	Maksymalne oszczędzanie
pw.disk	Wyłącz dyski po
pw.disk#0	Nigdy
pw.disk#300	5 minut
pw.disk#1200	20 minut
pw.disk#3600	1 godzinie
g.power.sleep	Ekran i uśpienie
pw.display	Wyłącz ekran po
pw.display#0	Nigdy
pw.display#300	5 minut
pw.display#600	10 minut
pw.display#900	15 minut
pw.display#1800	30 minut
pw.display#3600	1 godzinie
pw.sleep	Uśpij po
pw.sleep#0	Nigdy
pw.sleep#900	15 minut
pw.sleep#1800	30 minut
pw.sleep#3600	1 godzinie
pw.sleep#7200	2 godzinach
pw.hibAfter	Hibernuj po
pw.hibAfter#0	Nigdy
pw.hibAfter#3600	1 godzinie
pw.hibAfter#10800	3 godzinach
pw.hibAfter#21600	6 godzinach
pw.hybrid	Uśpienie hybrydowe
pw.hybrid#0	Wyłączone
pw.hybrid#1	Włączone
pw.wake	Czasomierze wybudzania
pw.wake#0	Wyłączone
pw.wake#1	Włączone
pw.wake#2	Tylko ważne
g.power.buttons	Przyciski
pw.powerBtn	Przycisk zasilania
pw.powerBtn#0	Nic nie rób
pw.powerBtn#1	Uśpij
pw.powerBtn#2	Hibernuj
pw.powerBtn#3	Zamknij system
pw.powerBtn#4	Wyłącz ekran
pw.lid	Zamknięcie pokrywy
pw.lid#0	Nic nie rób
pw.lid#1	Uśpij
pw.lid#2	Hibernuj
pw.lid#3	Zamknij system
g.power.media	Multimedia
pw.videoBias	Jakość odtwarzania wideo
pw.videoBias#0	Oszczędzanie energii
pw.videoBias#1	Wydajność
pw.videoPlay	Podczas odtwarzania wideo
pw.videoPlay#0	Optymalizuj jakość
pw.videoPlay#1	Zrównoważony
pw.videoPlay#2	Optymalizuj zużycie energii
pw.nvme1	SSD NVMe: pierwszy stan uśpienia po
pw.nvme1#0	Nigdy (zawsze gotowy)
pw.nvme1#1000	1 sekunda
H:pw.nvme1	Czas bezczynności przed pierwszym stanem oszczędzania SSD NVMe. Przy Nigdy odpowiada od razu, ale zużywa i grzeje się nieco bardziej.
pw.nvme2	SSD NVMe: głębokie uśpienie po
pw.nvme2#0	Nigdy (zawsze gotowy)
pw.nvme2#1000	1 sekunda
pw.nvme2#2000	2 sekundy
pw.nvme2#5000	5 sekund
H:pw.nvme2	Drugi, głębszy stan oszczędzania: wybudzenie trwa kilka milisekund dłużej. W laptopie lepiej zostawić włączony.
task.oldStart	Poprzednie menu Start (Windows 11 25H2)
H:task.oldStart	Przywraca menu Start z przypiętymi aplikacjami u góry, jak przed aktualizacją 25H2. Wymaga ponownego uruchomienia.
notif.center	Centrum powiadomień i kalendarz
H:notif.center	Panel otwierany kliknięciem daty i godziny. Wyłączony, kliknięcie zegara nic nie otwiera.
g.win.browser	Przeglądarki
win.brave	Brave bez Rewards, Wallet, VPN, AI i statystyk
H:win.brave	Zasady Brave: wyłącza funkcje dodatkowe i wysyłanie statystyk. Działa też, jeśli Brave zostanie zainstalowany później.
